KGISTalukN,KGISDist_1
Molakalmuru,Chitradurga
Challakere,Chitradurga
Chitradurga,Chitradurga
Holalkere,Chitradurga
Hosadurga,Chitradurga
Hiriyur,Chitradurga
Puttur,Dakshina Kannada
Belthangady,Dakshina Kannada
Bantwal,Dakshina Kannada
Mangaluru,Dakshina Kannada
Ullala,Dakshina Kannada
Mulki,Dakshina Kannada
Sullia,Dakshina Kannada
Kadaba,Dakshina Kannada
Moodubidire,Dakshina Kannada
Jagaluru,Davanagere
Harihar,Davanagere
Channagiri,Davanagere
Nyamati,Davanagere
Honnali,Davanagere
Davanagere,Davanagere
Alnavar,Dharwad
Hubballi Urban,Dharwad
Annigeri,Dharwad
Dharwad,Dharwad
Navalagund,Dharwad
Hubballi,Dharwad
Kalgatgi,Dharwad
Kundgol,Dharwad
Naragund,Gadag
Ron,Gadag
Shirahatti,Gadag
Laxmeshwar,Gadag
Mundargi,Gadag
Gadag,Gadag
Sakleshpura,Hassan
Belur,Hassan
Arsikere,Hassan
Hassan,Hassan
Alur,Hassan
Arkalgud,Hassan
Holenarasipura,Hassan
Channarayapatna,Hassan
Hangal,Haveri
Haveri,Haveri
Savanur,Haveri
Byadagi,Haveri
Ranebennur,Haveri
Hirekerur,Haveri
Rattihalli,Haveri
Shiggaon,Haveri
Afzalpur,Kalaburgi
Kalaburgi,Kalaburgi
Chincholi,Kalaburgi
Aland,Kalaburgi
Jewargi,Kalaburgi
Kalagi,Kalaburgi
Kamalapur,Kalaburgi
Yadrami,Kalaburgi
Shahabad,Kalaburgi
Sedam,Kalaburgi
Chittapur,Kalaburgi
Somavarapete,Kodagu
Ponnampet,Kodagu
Madikeri,Kodagu
Virajpet,Kodagu
Kushalnagar,Kodagu
Kolar Gold Field,Kolara
Kolara,Kolara
Mulabagilu,Kolara
Malur,Kolara
Srinivaspura,Kolara
Bangarpet,Kolara
Kushtagi,Koppal
Gangavathi,Koppal
Koppal,Koppal
Karatagi,Koppal
Kukanoor,Koppal
Kanakagiri,Koppal
Gajendragad,Koppal
Yelburga,Koppal
Pandavpura,Mandya
Maddur,Mandya
Krishnarajpet,Mandya
Malavalli,Mandya
Nagamangala,Mandya
Srirangapatna,Mandya
Mandya,Mandya
Piriyapatna,Mysuru
Hunsur,Mysuru
Mysuru,Mysuru
Heggadadevanakote,Mysuru
Nanjangud,Mysuru
T.Narasipura,Mysuru
Saraguru,Mysuru
K.R.Nagar,Mysuru
Saligrama,Mysuru
Maski,Raichur
Devdurga,Raichur
Arakera,Raichur
Raichur,Raichur
Manvi,Raichur
Sindhanuru,Raichur
Sirwar,Raichur
Lingasuguru,Raichur
Hosanagar,Shivamogga
Thirthahalli,Shivamogga
Soraba,Shivamogga
Shikaripura,Shivamogga
Shivamogga,Shivamogga
Bhadravathi,Shivamogga
Sagara,Shivamogga
Pavagada,Tumakuru
Madhugiri,Tumakuru
Koratagere,Tumakuru
Sira,Tumakuru
Tumakuru,Tumakuru
Tiptur,Tumakuru
Kunigal,Tumakuru
Gubbi,Tumakuru
Chiknayakanahalli,Tumakuru
Turuvekere,Tumakuru
Bainduru,Udupi
Brahmavara,Udupi
Karkala,Udupi
Udupi,Udupi
Kundapura,Udupi
Kapu,Udupi
Hebri,Udupi
Joida,Uttara Kannada
Haliyal,Uttara Kannada
Bhatkal,Uttara Kannada
Honnavar,Uttara Kannada
Dandeli,Uttara Kannada
Siddapur,Uttara Kannada
Yellapur,Uttara Kannada
Mundgod,Uttara Kannada
Sirsi,Uttara Kannada
Ankola,Uttara Kannada
Kumta,Uttara Kannada
Karwar,Uttara Kannada
Kudligi,Vijayanagara
Kotturu,Vijayanagara
Hadagali,Vijayanagara
Hagaribommanahalli,Vijayanagara
Harapanahalli,Vijayanagara
Almel,Vijayapura
Vijayapura,Vijayapura
Indi,Vijayapura
Sindagi,Vijayapura
Tikota,Vijayapura
Talikoti,Vijayapura
Chadchan,Vijayapura
Babaleshwar,Vijayapura
Nidagundi,Vijayapura
Devara Hipparagi,Vijayapura
Muddebihala,Vijayapura
Basavanabagewadi,Vijayapura
Kolhar,Vijayapura
Wadagera,Yadgir
Shahpur,Yadgir
Shorapur,Yadgir
Gurmitakal,Yadgir
Hunasagi,Yadgir
Yadgir,Yadgir
