point_id_yr,year,taluk,heuristic_credit_score,risk_category,recommendation,predicted_ndvi,latitude,longitude
JAM_000_2021,2021,Jamakhandi,64.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8920714259147644,16.48945938700312,75.37070292261478
JAM_000_2022,2022,Jamakhandi,61.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8264214396476746,16.48945938700312,75.37070292261478
JAM_000_2023,2023,Jamakhandi,62.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8213180303573608,16.48945938700312,75.37070292261478
BIL_000_2019,2019,Bilagi,52.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7073837518692017,16.280460250909908,75.47271860217081
BIL_000_2020,2020,Bilagi,52.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7297399044036865,16.280460250909908,75.47271860217081
BIL_000_2021,2021,Bilagi,53.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7464426755905151,16.280460250909908,75.47271860217081
BIL_000_2022,2022,Bilagi,53.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.739033043384552,16.280460250909908,75.47271860217081
BIL_000_2023,2023,Bilagi,50.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6721662878990173,16.280460250909908,75.47271860217081
MUD_000_2019,2019,Mudhol,45.7,High,REJECT — Poor crop health and water availability signals.,0.5937709212303162,16.353152536927833,75.33947879392485
MUD_000_2020,2020,Mudhol,55.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7497131824493408,16.353152536927833,75.33947879392485
MUD_000_2021,2021,Mudhol,56.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7878646850585938,16.353152536927833,75.33947879392485
MUD_000_2022,2022,Mudhol,56.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7817510962486267,16.353152536927833,75.33947879392485
MUD_000_2023,2023,Mudhol,46.0,High,REJECT — Poor crop health and water availability signals.,0.6039848327636719,16.353152536927833,75.33947879392485
BAD_000_2019,2019,Badami,38.2,High,REJECT — Poor crop health and water availability signals.,0.3685911297798157,15.95900475564086,75.553656758716
BAD_000_2020,2020,Badami,42.5,High,REJECT — Poor crop health and water availability signals.,0.4609166383743286,15.95900475564086,75.553656758716
BAD_000_2021,2021,Badami,45.4,High,REJECT — Poor crop health and water availability signals.,0.5332728624343872,15.95900475564086,75.553656758716
BAD_000_2022,2022,Badami,44.5,High,REJECT — Poor crop health and water availability signals.,0.517901599407196,15.95900475564086,75.553656758716
BAD_000_2023,2023,Badami,39.6,High,REJECT — Poor crop health and water availability signals.,0.3962600529193878,15.95900475564086,75.553656758716
BAG_001_2019,2019,Bagalkote,45.8,High,REJECT — Poor crop health and water availability signals.,0.5803195834159851,16.214076216846937,75.84776194861082
BAG_001_2020,2020,Bagalkote,49.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.629883348941803,16.214076216846937,75.84776194861082
BAG_001_2021,2021,Bagalkote,51.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.662447988986969,16.214076216846937,75.84776194861082
BAG_001_2022,2022,Bagalkote,51.0,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6561554074287415,16.214076216846937,75.84776194861082
BAG_001_2023,2023,Bagalkote,43.6,High,REJECT — Poor crop health and water availability signals.,0.5348014831542969,16.214076216846937,75.84776194861082
HUN_000_2019,2019,Hungund,45.3,High,REJECT — Poor crop health and water availability signals.,0.5744730830192566,16.07902774798801,75.88935129766233
HUN_000_2020,2020,Hungund,53.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7216601371765137,16.07902774798801,75.88935129766233
HUN_000_2021,2021,Hungund,57.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8189472556114197,16.07902774798801,75.88935129766233
HUN_000_2022,2022,Hungund,57.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8109706044197083,16.07902774798801,75.88935129766233
HUN_000_2023,2023,Hungund,47.5,High,REJECT — Poor crop health and water availability signals.,0.6299189329147339,16.07902774798801,75.88935129766233
GUL_001_2019,2019,Guledgudda,43.6,High,REJECT — Poor crop health and water availability signals.,0.5597922801971436,16.086864443545192,75.7097856555413
GUL_001_2020,2020,Guledgudda,42.4,High,REJECT — Poor crop health and water availability signals.,0.5245819091796875,16.086864443545192,75.7097856555413
GUL_001_2021,2021,Guledgudda,48.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6672441959381104,16.086864443545192,75.7097856555413
GUL_001_2022,2022,Guledgudda,47.2,High,REJECT — Poor crop health and water availability signals.,0.6406615972518921,16.086864443545192,75.7097856555413
GUL_001_2023,2023,Guledgudda,43.0,High,REJECT — Poor crop health and water availability signals.,0.5469982624053955,16.086864443545192,75.7097856555413
ILK_000_2019,2019,Ilkal,60.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.829047679901123,15.988724478911902,75.9204945275461
ILK_000_2020,2020,Ilkal,61.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8614310622215271,15.988724478911902,75.9204945275461
ILK_000_2021,2021,Ilkal,63.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9073072671890259,15.988724478911902,75.9204945275461
ILK_000_2022,2022,Ilkal,62.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8873000144958496,15.988724478911902,75.9204945275461
ILK_000_2023,2023,Ilkal,60.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8272951245307922,15.988724478911902,75.9204945275461
RAB_000_2019,2019,Rabakavi-Banahatti,54.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7673233151435852,16.34238421678928,75.03499332163273
RAB_000_2020,2020,Rabakavi-Banahatti,59.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8529977798461914,16.34238421678928,75.03499332163273
RAB_000_2021,2021,Rabakavi-Banahatti,59.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.843883752822876,16.34238421678928,75.03499332163273
RAB_000_2022,2022,Rabakavi-Banahatti,57.3,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8313124179840088,16.34238421678928,75.03499332163273
RAB_000_2023,2023,Rabakavi-Banahatti,53.1,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7329230904579163,16.34238421678928,75.03499332163273
VIJ_000_2019,2019,Vijayapura,27.4,High,REJECT — Poor crop health and water availability signals.,0.1702433079481125,17.05426849714205,75.7079509716548
VIJ_000_2020,2020,Vijayapura,24.1,High,REJECT — Poor crop health and water availability signals.,0.10138677805662155,17.05426849714205,75.7079509716548
VIJ_000_2021,2021,Vijayapura,26.1,High,REJECT — Poor crop health and water availability signals.,0.14568468928337097,17.05426849714205,75.7079509716548
VIJ_000_2022,2022,Vijayapura,25.4,High,REJECT — Poor crop health and water availability signals.,0.1304977387189865,17.05426849714205,75.7079509716548
VIJ_000_2023,2023,Vijayapura,26.9,High,REJECT — Poor crop health and water availability signals.,0.16089996695518494,17.05426849714205,75.7079509716548
IND_000_2019,2019,Indi,36.2,High,REJECT — Poor crop health and water availability signals.,0.3314376771450043,17.11758850461707,76.04819649460956
IND_000_2020,2020,Indi,30.2,High,REJECT — Poor crop health and water availability signals.,0.20355714857578278,17.11758850461707,76.04819649460956
IND_000_2021,2021,Indi,30.3,High,REJECT — Poor crop health and water availability signals.,0.2210216075181961,17.11758850461707,76.04819649460956
IND_000_2022,2022,Indi,34.3,High,REJECT — Poor crop health and water availability signals.,0.3114272356033325,17.11758850461707,76.04819649460956
IND_000_2023,2023,Indi,34.9,High,REJECT — Poor crop health and water availability signals.,0.30652520060539246,17.11758850461707,76.04819649460956
SIN_000_2019,2019,Sindagi,26.1,High,REJECT — Poor crop health and water availability signals.,0.15214216709136963,16.886372279493237,76.13052997689257
SIN_000_2020,2020,Sindagi,23.1,High,REJECT — Poor crop health and water availability signals.,0.09118577837944031,16.886372279493237,76.13052997689257
SIN_000_2021,2021,Sindagi,25.6,High,REJECT — Poor crop health and water availability signals.,0.15522895753383636,16.886372279493237,76.13052997689257
SIN_000_2022,2022,Sindagi,24.9,High,REJECT — Poor crop health and water availability signals.,0.14834287762641907,16.886372279493237,76.13052997689257
SIN_000_2023,2023,Sindagi,25.8,High,REJECT — Poor crop health and water availability signals.,0.14915063977241516,16.886372279493237,76.13052997689257
BAS_000_2019,2019,Basavanabagewadi,35.6,High,REJECT — Poor crop health and water availability signals.,0.3815080523490906,16.574282097392643,76.11134914158964
BAS_000_2020,2020,Basavanabagewadi,27.5,High,REJECT — Poor crop health and water availability signals.,0.19904345273971558,16.574282097392643,76.11134914158964
BAS_000_2021,2021,Basavanabagewadi,30.8,High,REJECT — Poor crop health and water availability signals.,0.2818160653114319,16.574282097392643,76.11134914158964
BAS_000_2022,2022,Basavanabagewadi,30.6,High,REJECT — Poor crop health and water availability signals.,0.2816198468208313,16.574282097392643,76.11134914158964
BAS_000_2023,2023,Basavanabagewadi,34.6,High,REJECT — Poor crop health and water availability signals.,0.36087778210639954,16.574282097392643,76.11134914158964
MUD_000_2019,2019,Muddebihala,40.6,High,REJECT — Poor crop health and water availability signals.,0.4601384699344635,16.23537762298707,76.34935137350821
MUD_000_2020,2020,Muddebihala,57.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7598309516906738,16.23537762298707,76.34935137350821
MUD_000_2021,2021,Muddebihala,57.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7770035266876221,16.23537762298707,76.34935137350821
MUD_000_2022,2022,Muddebihala,57.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7760948538780212,16.23537762298707,76.34935137350821
MUD_000_2023,2023,Muddebihala,38.0,High,REJECT — Poor crop health and water availability signals.,0.41112759709358215,16.23537762298707,76.34935137350821
NID_000_2019,2019,Nidagundi,48.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6550883650779724,16.468162035717448,75.99665319916281
NID_000_2020,2020,Nidagundi,49.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6733922958374023,16.468162035717448,75.99665319916281
NID_000_2021,2021,Nidagundi,48.6,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6627969741821289,16.468162035717448,75.99665319916281
NID_000_2022,2022,Nidagundi,49.5,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6849735975265503,16.468162035717448,75.99665319916281
NID_000_2023,2023,Nidagundi,48.8,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.6606175899505615,16.468162035717448,75.99665319916281
BAB_000_2019,2019,Babaleshwar,35.1,High,REJECT — Poor crop health and water availability signals.,0.23625639081001282,16.738394963248687,75.50853251625108
BAB_000_2020,2020,Babaleshwar,32.1,High,REJECT — Poor crop health and water availability signals.,0.18149584531784058,16.738394963248687,75.50853251625108
BAB_000_2021,2021,Babaleshwar,35.2,High,REJECT — Poor crop health and water availability signals.,0.2457842379808426,16.738394963248687,75.50853251625108
BAB_000_2022,2022,Babaleshwar,33.8,High,REJECT — Poor crop health and water availability signals.,0.22009694576263428,16.738394963248687,75.50853251625108
BAB_000_2023,2023,Babaleshwar,34.9,High,REJECT — Poor crop health and water availability signals.,0.2308887541294098,16.738394963248687,75.50853251625108
CHA_000_2019,2019,Chadchan,40.5,High,REJECT — Poor crop health and water availability signals.,0.4484296143054962,17.359910210619077,75.67770591173256
CHA_000_2020,2020,Chadchan,41.5,High,REJECT — Poor crop health and water availability signals.,0.4488682448863983,17.359910210619077,75.67770591173256
CHA_000_2021,2021,Chadchan,42.2,High,REJECT — Poor crop health and water availability signals.,0.46654585003852844,17.359910210619077,75.67770591173256
CHA_000_2022,2022,Chadchan,42.5,High,REJECT — Poor crop health and water availability signals.,0.4663683772087097,17.359910210619077,75.67770591173256
CHA_000_2023,2023,Chadchan,40.6,High,REJECT — Poor crop health and water availability signals.,0.4546148478984833,17.359910210619077,75.67770591173256
TAL_000_2019,2019,Talikoti,56.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8204270601272583,16.584988512006504,76.35996525523959
TAL_000_2020,2020,Talikoti,55.2,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.7818711400032043,16.584988512006504,76.35996525523959
TAL_000_2021,2021,Talikoti,56.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8188362121582031,16.584988512006504,76.35996525523959
TAL_000_2022,2022,Talikoti,56.4,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.8202022910118103,16.584988512006504,76.35996525523959
TAL_000_2023,2023,Talikoti,56.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.816956639289856,16.584988512006504,76.35996525523959
TIK_000_2019,2019,Tikota,35.4,High,REJECT — Poor crop health and water availability signals.,0.30195674300193787,16.87738552279245,75.3983450289925
TIK_000_2020,2020,Tikota,30.0,High,REJECT — Poor crop health and water availability signals.,0.1905379444360733,16.87738552279245,75.3983450289925
TIK_000_2021,2021,Tikota,33.6,High,REJECT — Poor crop health and water availability signals.,0.27365002036094666,16.87738552279245,75.3983450289925
TIK_000_2022,2022,Tikota,31.9,High,REJECT — Poor crop health and water availability signals.,0.23416166007518768,16.87738552279245,75.3983450289925
TIK_000_2023,2023,Tikota,35.0,High,REJECT — Poor crop health and water availability signals.,0.2915879786014557,16.87738552279245,75.3983450289925
KOL_000_2019,2019,Kolhar,37.3,High,REJECT — Poor crop health and water availability signals.,0.3793405592441559,16.619758953674996,75.7532173282426
KOL_000_2020,2020,Kolhar,35.3,High,REJECT — Poor crop health and water availability signals.,0.3037894666194916,16.619758953674996,75.7532173282426
KOL_000_2021,2021,Kolhar,36.0,High,REJECT — Poor crop health and water availability signals.,0.31905558705329895,16.619758953674996,75.7532173282426
KOL_000_2022,2022,Kolhar,38.4,High,REJECT — Poor crop health and water availability signals.,0.34290602803230286,16.619758953674996,75.7532173282426
KOL_000_2023,2023,Kolhar,36.8,High,REJECT — Poor crop health and water availability signals.,0.36887362599372864,16.619758953674996,75.7532173282426
DEV_000_2019,2019,Devara Hipparagi,31.5,High,REJECT — Poor crop health and water availability signals.,0.2285420298576355,16.750347104488487,76.12891823603029
DEV_000_2020,2020,Devara Hipparagi,25.5,High,REJECT — Poor crop health and water availability signals.,0.111902616918087,16.750347104488487,76.12891823603029
DEV_000_2021,2021,Devara Hipparagi,28.6,High,REJECT — Poor crop health and water availability signals.,0.18454962968826294,16.750347104488487,76.12891823603029
DEV_000_2022,2022,Devara Hipparagi,28.0,High,REJECT — Poor crop health and water availability signals.,0.18656419217586517,16.750347104488487,76.12891823603029
DEV_000_2023,2023,Devara Hipparagi,29.5,High,REJECT — Poor crop health and water availability signals.,0.20160937309265137,16.750347104488487,76.12891823603029
ALA_000_2019,2019,Aland,46.8,High,REJECT — Poor crop health and water availability signals.,0.5591214299201965,17.523267658376472,76.66843123174779
ALA_000_2020,2020,Aland,36.8,High,REJECT — Poor crop health and water availability signals.,0.3207898736000061,17.523267658376472,76.66843123174779
ALA_000_2021,2021,Aland,38.3,High,REJECT — Poor crop health and water availability signals.,0.36199283599853516,17.523267658376472,76.66843123174779
ALA_000_2022,2022,Aland,35.0,High,REJECT — Poor crop health and water availability signals.,0.3124973773956299,17.523267658376472,76.66843123174779
ALA_000_2023,2023,Aland,44.0,High,REJECT — Poor crop health and water availability signals.,0.5076180696487427,17.523267658376472,76.66843123174779
AFZ_001_2019,2019,Afzalpur,69.9,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.9228102564811707,17.19873686713764,76.57915100448186
AFZ_001_2020,2020,Afzalpur,66.7,Moderate,REVIEW — Marginal geospatial indicators; field verification advised.,0.849435567855835,17.19873686713764,76.57915100448186
AFZ_001_2021,2021,Afzalpur,70.6,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9488967657089233,17.19873686713764,76.57915100448186
AFZ_001_2022,2022,Afzalpur,70.5,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9437609910964966,17.19873686713764,76.57915100448186
AFZ_001_2023,2023,Afzalpur,70.3,Low,APPROVE — Strong satellite-verified agricultural capacity.,0.9317489266395569,17.19873686713764,76.57915100448186
KAL_000_2019,2019,Kalaburgi,33.0,High,REJECT — Poor crop health and water availability signals.,0.2535056173801422,17.282447865727917,76.85866377617424
KAL_000_2020,2020,Kalaburgi,30.9,High,REJECT — Poor crop health and water availability signals.,0.14917659759521484,17.282447865727917,76.85866377617424
KAL_000_2021,2021,Kalaburgi,33.5,High,REJECT — Poor crop health and water availability signals.,0.2145850509405136,17.282447865727917,76.85866377617424
KAL_000_2022,2022,Kalaburgi,37.0,High,REJECT — Poor crop health and water availability signals.,0.3099862039089203,17.282447865727917,76.85866377617424
KAL_000_2023,2023,Kalaburgi,34.1,High,REJECT — Poor crop health and water availability signals.,0.2953328788280487,17.282447865727917,76.85866377617424
